date,symbol,contract,lots,status,price,fee,slippage
2026-09-17,AL,AL2610,1.0,filled,24255.0,3.0,25.0
2026-09-17,C,C2611,-15.0,filled,2218.0,18.0,150.0
2026-09-17,J,J2701,1.0,filled,2060.5,20.6,50.0
2026-09-17,JD,JD2611,4.0,filled,3790.0,22.734,40.0
2026-09-17,M,M2701,24.0,filled,3480.0,36.0,240.0
2026-09-17,MA,MA2701,9.0,filled,3063.0,27.558,90.0
2026-09-17,NI,NI2610,-1.0,filled,123210.0,3.0,10.0
2026-09-17,P,P2701,-2.0,filled,10121.0,5.0,20.0
2026-09-17,RB,RB2701,-4.0,filled,3125.0,12.504,40.0
2026-09-17,SA,SA2701,-12.0,filled,1007.0,24.192,240.0
2026-09-17,SR,SR2701,-5.0,filled,5372.0,10.0,50.0
2026-09-17,TA,TA2701,9.0,filled,6562.0,27.0,90.0
2026-09-17,V,V2701,-8.0,filled,4886.0,8.0,40.0
2026-09-17,Y,Y2701,5.0,filled,9061.0,12.5,50.0
