symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,eligible
AG,AG2612,0.0,0.005743033384681424,,0.0,False,0.0,16304.0,15.0,0.22,0.0,0.15381407147509735,-0.06297072946450383,True
AL,AL2611,4.0,0.15982579291274765,AL2611,2.0,False,2.0,24400.0,5.0,0.11,53680.0,0.4734488757888851,0.06445516860016494,True
AU,AU2612,-0.0,-0.009857289107920195,,0.0,False,-0.0,951.38,1000.0,0.16,0.0,-0.009557656415318139,-0.07270865646249357,True
C,C2611,-24.0,-0.17972322646737182,C2611,-25.0,False,1.0,2185.0,10.0,0.07,36708.0,-0.3906543491206123,-0.40615456898049973,True
CF,CF2701,-1.0,-0.03463665970882285,CF2701,-1.0,False,0.0,15750.0,5.0,0.07,5512.500000000001,-0.2833598575514119,0.1403810013760388,True
CU,CU2610,1.0,0.16612244924846056,,0.0,False,1.0,109620.0,5.0,0.11,60291.0,0.6384457549235829,0.22089247505894086,True
I,I2701,1.0,0.018126181098501698,,0.0,False,1.0,715.5,100.0,0.08,5724.0,-0.07388600368310291,0.19549409412389726,True
J,J2701,0.0,0.010664256673930327,J2701,1.0,False,-1.0,1952.5,100.0,0.12,0.0,-0.02664328750363877,0.15115101862595523,True
JD,JD2611,6.0,0.08017068442917699,JD2611,4.0,False,2.0,3861.0,10.0,0.07,16216.2,0.13720961870254791,0.5218929488504602,True
M,M2701,24.0,0.2762963962442526,M2701,24.0,False,0.0,3397.0,10.0,0.07,57069.600000000006,0.4487899026720511,0.9515810462754595,True
MA,MA2701,10.0,0.0945636623945898,MA2701,9.0,False,1.0,2952.0,10.0,0.07,20664.000000000004,0.6365520582273123,0.9752652857978921,True
NI,NI2610,-1.0,-0.052888497314927,NI2610,-1.0,False,0.0,124090.0,1.0,0.12,14890.8,-0.29457583305567286,-0.08696944245387404,True
P,P2701,-3.0,-0.08719599893844869,P2701,-3.0,False,0.0,9855.0,10.0,0.08,23652.0,-0.08131207843336317,-0.5459429577020649,True
RB,RB2701,-6.0,-0.0644278418356045,RB2701,-4.0,False,-2.0,3096.0,10.0,0.07,13003.2,-0.1543543633902872,-0.08941908572373913,True
RU,RU2701,0.0,0.028883237997547096,,0.0,False,0.0,18670.0,10.0,0.09,0.0,0.20318308810347152,-0.020001365836640094,True
SA,SA2701,-19.0,-0.12744021367709332,SA2701,-12.0,False,-7.0,1007.0,20.0,0.08,30612.8,-0.5923610592301998,-0.7425806401468537,True
SC,SC2611,0.0,0.047121785148491906,,0.0,False,0.0,728.0,1000.0,0.16,0.0,0.4187939903150868,0.9977954025523472,True
SN,SN2610,0.0,0.023184507118485544,,0.0,False,0.0,407490.0,1.0,0.14,0.0,0.25797594153386477,-0.053084323338898544,True
SR,SR2701,-8.0,-0.14664003347275376,SR2701,-5.0,False,-3.0,5322.0,10.0,0.06,25545.6,-0.28029517083369154,-0.2135611612919578,True
TA,TA2701,10.0,0.09994491263182277,TA2701,9.0,False,1.0,6238.0,5.0,0.07,21833.000000000004,0.3252793774886586,0.7685461069678607,True
V,V2701,-8.0,-0.06258549709652451,V2701,-8.0,False,0.0,4703.0,5.0,0.07,13168.400000000001,-0.24178463520010868,-0.660372048476374,True
Y,Y2701,5.0,0.1390915628960292,Y2701,5.0,False,0.0,8875.0,10.0,0.07,31062.500000000004,0.29225464943297963,0.2445390220039669,True
