symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,0.0,0.00012328989661147658,,0.0,False,0.0,15661.0,15.0,0.22,0.0,0.0585083846765779,-0.056219068105377995,,True
AL,AL2611,3.0,0.1193632854379387,AL2611,3.0,False,0.0,24200.0,5.0,0.11,39930.0,0.42501219796945056,0.03901122417669812,,True
AU,AU2612,-0.0,-0.022342678971470423,,0.0,False,-0.0,927.66,1000.0,0.16,0.0,-0.1486565535146931,-0.07392834946970929,,True
C,C2611,-24.0,-0.17972322646737188,C2611,-24.0,False,0.0,2181.0,10.0,0.07,36640.8,-0.44473502338793325,-0.40680458813823955,,True
CF,CF2701,-1.0,-0.026330781855290114,CF2701,-1.0,False,0.0,15835.0,5.0,0.07,5542.250000000001,-0.28751904728509015,0.15878380806052858,,True
CU,CU2611,1.0,0.16612244924846054,CU2610,1.0,True,1.0,110130.0,5.0,0.11,60571.5,0.6322361648121311,0.286892476984956,,True
I,I2701,0.0,0.0020409690388542264,,0.0,False,0.0,713.5,100.0,0.08,0.0,-0.18242418953137124,0.1960351551913211,,True
J,J2701,0.0,0.019490321376675758,,0.0,False,0.0,1974.5,100.0,0.12,0.0,-0.06476663513226236,0.3164108472925883,,True
JD,JD2611,6.0,0.08017068442917698,JD2611,6.0,False,0.0,3865.0,10.0,0.07,16233.000000000002,0.18166402254020655,0.6376468385848868,,True
M,M2701,24.0,0.27629639624425256,M2701,24.0,False,0.0,3426.0,10.0,0.07,57556.8,0.5723478670973223,0.9590954521018652,,True
MA,MA2701,10.0,0.0945636623945897,MA2701,10.0,False,0.0,2960.0,10.0,0.07,20720.000000000004,0.6996712029008404,0.9435261103173053,,True
NI,NI2611,-1.0,-0.052888497314927264,NI2611,-1.0,False,0.0,125320.0,1.0,0.12,15038.4,-0.2373642414806374,-0.13937889985479787,,True
P,P2701,-4.0,-0.10060376391779742,P2701,-4.0,False,0.0,9806.0,10.0,0.08,31379.2,-0.031221597508596103,-0.5825525115447886,,True
RB,RB2701,-6.0,-0.05858479946099325,RB2701,-6.0,False,0.0,3118.0,10.0,0.07,13095.6,-0.139687169405063,-0.059339047140927116,,True
RU,RU2701,1.0,0.07561688262597333,RU2701,1.0,False,0.0,19600.0,10.0,0.09,17640.0,0.5440674718238034,-0.015247560710593995,,True
SA,SA2701,-19.0,-0.1274402136770933,SA2701,-19.0,False,0.0,1004.0,20.0,0.08,30521.600000000002,-0.6199160882183973,-0.6950256722740497,,True
SC,SC2611,0.0,0.04712178514849188,,0.0,False,0.0,743.5,1000.0,0.16,0.0,0.5396526688058246,0.999449966029796,,True
SN,SN2611,0.0,0.02775046926412936,,0.0,False,0.0,412790.0,1.0,0.14,0.0,0.3489237439112704,-0.07721583678667725,,True
SR,SR2701,-5.0,-0.06648066300826762,SR2701,-5.0,False,0.0,5404.0,10.0,0.06,16212.0,-0.06381171650236137,-0.1973402197898965,,True
TA,TA2701,9.0,0.0999449126318228,TA2701,9.0,False,0.0,6340.0,5.0,0.07,19971.000000000004,0.4980990611087325,0.8539658180730567,,True
V,V2701,-8.0,-0.06258549709652454,V2701,-8.0,False,0.0,4798.0,5.0,0.07,13434.400000000001,-0.04794165041345032,-0.6155424219759948,,True
Y,Y2701,5.0,0.1390915628960292,Y2701,5.0,False,0.0,8962.0,10.0,0.07,31367.000000000004,0.45969923113675554,0.306855007511874,,True
