symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,-0.0,-0.004614600866923263,,0.0,False,-0.0,15832.0,15.0,0.22,0.0,-0.003914437634596951,-0.08323562961965421,,True
AL,AL2610,1.0,0.03733094258887151,,0.0,False,1.0,24180.0,5.0,0.11,13299.0,0.1580000151624849,-0.011790078011414138,,True
AU,AU2612,-0.0,-0.019131502356574674,,0.0,False,-0.0,940.52,1000.0,0.16,0.0,-0.1116012730491026,-0.06920499625292036,,True
C,C2611,-15.0,-0.11167082521185685,,0.0,False,-15.0,2216.0,10.0,0.07,23268.000000000004,-0.19803867601292555,-0.35766007638304775,,True
CF,CF2701,-0.0,-0.006460415192077665,,0.0,False,-0.0,16040.0,5.0,0.07,0.0,-0.19012364039088434,0.15912510259967608,,True
CU,CU2610,0.0,0.08793431536522235,,0.0,False,0.0,107740.0,5.0,0.11,0.0,0.41325542253896586,0.1837619364180977,,True
I,I2701,0.0,0.00591165277115494,,0.0,False,0.0,709.0,100.0,0.08,0.0,-0.15899020840379605,0.20749694554492953,,True
J,J2701,1.0,0.0356579402485697,,0.0,False,1.0,2062.0,100.0,0.12,24744.0,0.1876857105089149,0.29680514686392895,,True
JD,JD2611,4.0,0.05094874188438775,,0.0,False,4.0,3798.0,10.0,0.07,10634.400000000001,0.03268826123208533,0.4960555735045773,,True
M,M2701,24.0,0.276296396244253,,0.0,False,24.0,3479.0,10.0,0.07,58447.200000000004,0.636396135845737,0.9627720690871665,,True
MA,MA2701,9.0,0.09456366239458981,,0.0,False,9.0,3052.0,10.0,0.07,19227.600000000002,0.7799334335775416,0.980309773948526,,True
NI,NI2610,-1.0,-0.05288849731492697,,0.0,False,-1.0,122040.0,1.0,0.12,14644.8,-0.4642869103913331,-0.09304041940762521,,True
P,P2701,-2.0,-0.05815058039789312,,0.0,False,-2.0,10095.0,10.0,0.08,16152.0,0.12441837960606444,-0.5567208949073964,,True
RB,RB2701,-4.0,-0.04047570257941141,,0.0,False,-4.0,3126.0,10.0,0.07,8752.800000000001,-0.0690503918979766,-0.09831721549763875,,True
RU,RU2701,0.0,0.02888323799754711,,0.0,False,0.0,18875.0,10.0,0.09,0.0,0.27171579492103004,-0.019784476732035233,,True
SA,SA2701,-12.0,-0.0824863813400332,,0.0,False,-12.0,1011.0,20.0,0.08,19411.2,-0.5993840042711908,-0.7409295827878543,,True
SC,SC2610,0.0,0.04712178514849178,,0.0,False,0.0,892.8,1000.0,0.16,0.0,0.6704212586322561,0.9998750111636724,,True
SN,SN2610,0.0,0.0011545963882318906,,0.0,False,0.0,398430.0,1.0,0.14,0.0,0.056568999289576954,-0.04430985325572094,,True
SR,SR2701,-5.0,-0.08938786656567341,,0.0,False,-5.0,5369.0,10.0,0.06,16107.0,-0.15157990822134626,-0.21440153102505954,,True
TA,TA2701,9.0,0.09994491263182284,,0.0,False,9.0,6556.0,5.0,0.07,20651.4,0.443721556654863,0.9556446862999082,,True
V,V2701,-8.0,-0.06258549709652454,,0.0,False,-8.0,4887.0,5.0,0.07,13683.600000000002,-0.15456369702938166,-0.6361055404918355,,True
Y,Y2701,5.0,0.13909156289602925,,0.0,False,5.0,9036.0,10.0,0.07,31626.000000000004,0.5241459345588849,0.2608239302366863,,True
