date,symbol,contract,lots,status,price,fee,slippage
2026-09-17,AL,AL2610,2.0,filled,24255.0,6.0,50.0
2026-09-17,C,C2611,-16.0,filled,2218.0,19.2,160.0
2026-09-17,CF,CF2701,2.0,filled,16050.0,8.6,50.0
2026-09-17,CU,CU2610,1.0,filled,108030.0,27.005,50.0
2026-09-17,I,I2701,-2.0,filled,712.0,14.25,100.0
2026-09-17,J,J2701,1.0,filled,2060.5,20.6,50.0
2026-09-17,JD,JD2611,5.0,filled,3790.0,28.4175,50.0
2026-09-17,M,M2701,11.0,filled,3480.0,16.5,110.0
2026-09-17,MA,MA2701,9.0,filled,3063.0,27.558,90.0
2026-09-17,NI,NI2610,-1.0,filled,123210.0,3.0,10.0
2026-09-17,P,P2701,-2.0,filled,10121.0,5.0,20.0
2026-09-17,RB,RB2701,-8.0,filled,3125.0,25.008,80.0
2026-09-17,SA,SA2701,-4.0,filled,1007.0,8.064,80.0
2026-09-17,SR,SR2701,-8.0,filled,5372.0,16.0,80.0
2026-09-17,TA,TA2701,8.0,filled,6562.0,24.0,80.0
2026-09-17,V,V2701,-8.0,filled,4886.0,8.0,40.0
2026-09-17,Y,Y2701,4.0,filled,9061.0,10.0,40.0
