date,symbol,contract,lots,status,price,fee,slippage
2026-09-17,AL,AL2610,1.0,filled,24255.0,3.0,25.0
2026-09-17,C,C2611,-27.0,filled,2218.0,32.4,270.0
2026-09-17,CF,CF2701,2.0,filled,16050.0,8.6,50.0
2026-09-17,CU,CU2610,1.0,filled,108030.0,27.005,50.0
2026-09-17,I,I2701,-2.0,filled,712.0,14.25,100.0
2026-09-17,J,J2701,1.0,filled,2060.5,20.6,50.0
2026-09-17,JD,JD2611,4.0,filled,3790.0,22.734,40.0
2026-09-17,MA,MA2701,9.0,filled,3063.0,27.558,90.0
2026-09-17,NI,NI2610,-2.0,filled,123210.0,6.0,20.0
2026-09-17,P,P2701,-3.0,filled,10121.0,7.5,30.0
2026-09-17,RB,RB2701,-12.0,filled,3125.0,37.512,120.0
2026-09-17,TA,TA2701,10.0,filled,6562.0,30.0,100.0
2026-09-17,V,V2701,-12.0,filled,4886.0,12.0,60.0
2026-09-17,Y,Y2701,4.0,filled,9061.0,10.0,40.0
