symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AL,AL2611,3.0,0.1123479598527424,AL2611,4.0,False,-1.0,24220.0,5.0,0.11,39963.0,0.37140050667863345,0.0519622760935494,0.08729633496058048,True
C,C2611,-28.0,-0.20221138261979665,C2611,-28.0,False,0.0,2170.0,10.0,0.07,42532.00000000001,-0.4780029602360044,-0.39775041986244536,-0.47040315567523217,True
CF,CF2701,1.0,0.017888078173381106,CF2701,1.0,False,0.0,15870.0,5.0,0.07,5554.500000000001,-0.2516404763148334,0.1488876262441163,0.2252220154404051,True
CU,CU2610,1.0,0.22596101226681917,CU2610,1.0,False,0.0,110180.0,5.0,0.11,60599.0,0.6494509254281233,0.23957492139642717,0.6629861317459356,True
I,I2701,-2.0,-0.04870109610571289,I2701,-2.0,False,0.0,715.0,100.0,0.08,11440.0,-0.09910108947312117,0.18544901728481436,-0.6323159110211134,True
J,J2701,1.0,0.040378901328337914,J2701,1.0,False,0.0,1985.0,100.0,0.12,23820.0,-0.037650218154422384,0.2724852420777174,0.43810730487665617,True
JD,JD2611,6.0,0.07945593481235486,JD2611,6.0,False,0.0,3856.0,10.0,0.07,16195.2,0.1405609860071083,0.5834653250197893,,True
MA,MA2701,10.0,0.094528419311078,MA2701,10.0,False,0.0,2942.0,10.0,0.07,20594.000000000004,0.6731043551551461,0.9779332037591165,0.3601493115619726,True
NI,NI2611,-2.0,-0.08604954596061197,NI2610,-2.0,True,-2.0,123890.0,1.0,0.12,29733.6,-0.2946202689191638,-0.15085923959689707,-0.39244516236054877,True
P,P2701,-5.0,-0.17279338237748967,P2701,-5.0,False,0.0,9816.0,10.0,0.08,39264.0,-0.1259623541417561,-0.5599701661308137,-0.7457487650563803,True
RB,RB2701,-8.0,-0.08267690513519174,RB2701,-12.0,False,4.0,3117.0,10.0,0.07,17455.2,-0.09749923378219073,-0.05935800314115052,-0.2605162505972382,True
RU,RU2701,0.0,0.004584216362205055,,0.0,False,0.0,18800.0,10.0,0.09,0.0,0.23312436863870534,-0.03174944517224151,-0.15857118241649829,True
SC,SC2611,0.0,0.05996943176024637,,0.0,False,0.0,722.5,1000.0,0.16,0.0,0.44198511292385484,0.9994037685929792,0.4321105361601421,True
SN,SN2610,1.0,0.07123079886529193,SN2610,1.0,False,0.0,409000.0,1.0,0.14,57260.00000000001,0.28927159979171546,-0.04733506149721969,0.6090152132973085,True
TA,TA2701,10.0,0.10507755174680738,TA2701,10.0,False,0.0,6282.0,5.0,0.07,21987.000000000004,0.4069018944586919,0.8069560043247908,0.7049635127615342,True
V,V2701,-12.0,-0.09769583378047321,V2701,-12.0,False,0.0,4755.0,5.0,0.07,19971.000000000004,-0.2095219721201924,-0.6525397010873049,-0.6323159110211134,True
Y,Y2701,2.0,0.06190090152650309,Y2701,2.0,False,0.0,8895.0,10.0,0.07,12453.000000000002,0.32854885835247594,0.2696189284289043,-0.22753402265641054,True
