symbol,target_contract,target_lots,target_exposure,held_contract,held_lots,roll_required,delta_lots,ref_close,multiplier,margin_rate,est_margin_cny,signal_tsmom,signal_carry,signal_receipts_level,eligible
AG,AG2612,-0.0,-0.03903015486637683,,0.0,False,-0.0,16304.0,15.0,0.22,0.0,0.15381407147509735,-0.06297072946450383,-0.7008230087741872,True
AL,AL2611,3.0,0.13914223454417943,AL2611,2.0,False,1.0,24400.0,5.0,0.11,40260.0,0.4734488757888851,0.06445516860016494,0.025363118412780102,True
AU,AU2612,-0.0,-0.06961005369807759,,0.0,False,-0.0,951.38,1000.0,0.16,0.0,-0.009557656415318139,-0.07270865646249357,-0.6794645932686881,True
CU,CU2610,1.0,0.2108421140894874,CU2610,1.0,False,0.0,109620.0,5.0,0.11,60291.0,0.6384457549235829,0.22089247505894086,0.45253142852276085,True
MA,MA2701,10.0,0.09649890787380494,MA2701,10.0,False,0.0,2952.0,10.0,0.07,20664.000000000004,0.6365520582273123,0.9752652857978921,0.27632450060239383,True
NI,NI2610,-3.0,-0.10693293201412744,NI2610,-3.0,False,0.0,124090.0,1.0,0.12,44672.4,-0.29457583305567286,-0.08696944245387404,-0.41782400332632497,True
RU,RU2701,-0.0,-0.0013476049026952801,,0.0,False,-0.0,18670.0,10.0,0.09,0.0,0.20318308810347152,-0.020001365836640094,-0.1935606405185851,True
SA,SA2701,-9.0,-0.06326229775861471,SA2701,-9.0,False,0.0,1007.0,20.0,0.08,14500.800000000001,-0.5923610592301998,-0.7425806401468537,0.5032576653483211,True
SC,SC2611,0.0,0.05958830676586751,,0.0,False,0.0,728.0,1000.0,0.16,0.0,0.4187939903150868,0.9977954025523472,0.3403997471188909,True
SN,SN2610,0.0,0.06084269705885136,,0.0,False,0.0,407490.0,1.0,0.14,0.0,0.25797594153386477,-0.053084323338898544,0.44185222077001135,True
TA,TA2701,10.0,0.10761278954615076,TA2701,10.0,False,0.0,6238.0,5.0,0.07,21833.000000000004,0.3252793774886586,0.7685461069678607,0.5833517234939425,True
V,V2701,-12.0,-0.09790494692138899,V2701,-12.0,False,0.0,4703.0,5.0,0.07,19752.600000000002,-0.24178463520010868,-0.660372048476374,-0.6314081583813154,True
